time,demand,supply
656,0.409,-0.003
657,0.431,0.014
658,0.451,0.369
659,0.410,1.408
660,0.407,2.493
661,0.435,3.202
662,0.456,3.662
663,0.583,4.030
664,0.716,3.985
665,0.811,2.673
666,0.422,0.424
667,0.610,0.040
668,0.834,-0.003
669,1.832,-0.000
670,0.996,-0.003
671,1.040,-0.003
672,0.755,-0.002
673,0.402,-0.003
674,0.424,-0.003
675,0.379,-0.003
676,0.375,-0.003
677,0.402,-0.003
678,0.387,-0.003
679,0.389,-0.003
680,0.399,-0.003
681,0.472,0.009
682,0.410,0.261
683,0.442,1.072
684,0.586,2.124
685,0.580,3.212
686,0.737,3.715
687,2.471,3.659
688,2.822,3.655
689,3.300,2.484
690,1.034,0.642
691,1.239,0.148
692,1.319,-0.005
693,0.876,-0.001
694,0.967,-0.004
695,1.020,-0.003
696,0.769,-0.003
697,0.390,-0.003
698,0.484,-0.002
699,0.409,-0.003
700,0.397,-0.003
701,0.389,-0.003
702,0.400,-0.003
703,0.391,-0.003
704,0.386,-0.003
705,0.387,0.006
706,0.489,0.094
707,0.379,0.494
708,0.432,1.382
709,0.396,2.304
710,0.404,3.172
711,0.598,3.424
712,1.298,2.525
713,0.560,1.308
714,0.661,0.655
715,1.107,0.172
716,1.015,-0.003
717,1.009,-0.002
718,1.020,-0.003
719,1.008,-0.003
720,0.569,-0.003
721,0.384,-0.003
722,0.401,-0.003
723,0.369,-0.003
724,0.380,-0.003
725,0.453,-0.003
726,0.410,-0.003
727,0.391,-0.003
728,0.394,-0.003
729,0.377,-0.004
730,0.513,0.028
731,0.492,0.084
732,0.449,0.204
733,0.401,0.269
734,2.500,0.407
735,3.112,0.276
736,0.829,0.289
737,0.442,0.165
738,0.788,0.028
739,0.819,0.009
740,0.837,-0.002
741,2.292,-0.000
742,0.946,-0.004
743,1.078,-0.002
744,1.148,-0.005
745,0.968,-0.005
746,0.361,-0.003
747,0.370,-0.003
748,0.335,-0.004
749,0.335,-0.004
750,0.370,-0.003
751,0.362,-0.003
752,0.697,-0.003
753,0.765,0.012
754,0.377,0.399
755,0.378,1.094
756,0.357,1.842
757,0.371,2.398
758,0.407,1.870
759,0.372,3.680
760,0.374,3.121
761,0.386,1.737
762,0.358,0.844
763,0.344,0.162
764,0.378,-0.004
765,0.381,-0.004
766,0.366,-0.003
767,0.364,-0.004
768,0.349,-0.004
769,0.336,-0.004
770,0.323,-0.004
771,0.328,-0.004
772,0.353,-0.003
773,0.327,-0.003
774,0.323,-0.003
775,0.331,-0.003
